name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,futureType,baseCurrency,isEtfMarket,quoteCurrency,underlying,restricted,highLeverageFeeExempt,largeOrderThreshold,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,priceHigh24h,priceLow24h,tokenizedEquity
LTC-1230,True,False,0.01,0.01,0.01,52.96,52.98,53.07,52.98,future,future,,False,,LTC,False,False,2500.0,-0.010828976848394324,0.0024597918637653737,-0.0058172264965284295,189747.016,189747.016,54.02,52.67,
LTC/BTC,True,False,2.5e-07,0.01,0.01,0.00276875,0.00276575,0.00277175,0.00276875,spot,,LTC,False,BTC,,False,True,1200.0,0.00663515724413743,-0.002521840943889039,0.009019679300291546,2.0496503325,39338.38542608273,0.0027805,0.00271075,
LTC/JPY,True,False,0.01,0.01,0.01,7771.26,7666.43,7699.51,7699.51,spot,,LTC,False,JPY,,False,True,1400.0,-0.009232737033634185,0.007256633926562394,0.0031202935030147636,456856.1047,3152.30712243,7808.03,7624.2,
LTC/USD,True,False,0.005,0.01,0.01,53.135,53.1,53.115,53.115,spot,,LTC,False,USD,,False,True,2000.0,-0.009602834234570203,0.002832058906825262,-0.005150777299119685,12210348.09345,12210348.09345,54.155,52.79,
LTC/USDT,True,False,0.005,0.01,0.01,53.08,53.105,53.13,53.105,spot,,LTC,False,USDT,,False,True,1400.0,-0.01015843429636533,0.00330625354241451,-0.005431220151699597,1045807.79855,1045842.6553239257,54.155,52.795,
LUA/USD,True,False,0.00025,0.1,0.1,0.0125,0.012,0.0125,0.0125,spot,,LUA,False,USD,,False,True,280.0,0.0,0.02040816326530612,0.0,2873.493975,2873.493975,0.01275,0.01225,
LUA/USDT,True,False,0.00025,0.1,0.1,0.012,0.012,0.0125,0.012,spot,,LUA,False,USDT,,False,True,196.0,0.0,-0.02040816326530612,0.0,5498.732325,5498.915597748392,0.01275,0.012,
LUNA2-PERP,True,False,0.0005,0.1,0.1,2.4575,2.4575,2.459,2.4575,future,perpetual,,False,,LUNA2,False,False,350.0,-0.007872426322163908,-0.028079889262408543,-0.01026983487716472,10380997.94395,10380997.94395,2.5675,2.433,
LUNC-PERP,True,False,5e-08,1000.0,1000.0,0.00027225,0.0002722,0.00027225,0.00027225,future,perpetual,,False,,LUNC,False,False,350.0,-0.011078823102070468,-0.028199179011243976,0.00036744442403086535,51799934.99165,51799934.99165,0.0002865,0.00026855,
MANA-PERP,True,False,0.0001,1.0,1.0,0.6932,0.6935,0.6937,0.6935,future,perpetual,,False,,MANA,False,False,900.0,-0.008719268153230417,-0.0012960829493087558,-0.01659103800340329,3607445.1793,3607445.1793,0.709,0.6913,
MANA/USD,True,False,0.0001,1.0,1.0,0.6931,0.6934,0.6939,0.6934,spot,,MANA,False,USD,,False,True,720.0,-0.008862206975414523,-0.0020149683362118594,-0.017429502621510558,172449.0495,172449.0495,0.7089,0.6914,
MAPS-PERP,True,False,0.0001,1.0,1.0,0.1401,0.14,0.1401,0.1401,future,perpetual,,False,,MAPS,False,False,350.0,-0.0035561877667140826,-0.0042643923240938165,-0.004971590909090909,35759.8591,35759.8591,0.1415,0.1401,
MAPS/USD,True,False,0.0001,1.0,1.0,0.14,0.1402,0.1408,0.1402,spot,,MAPS,False,USD,,False,True,280.0,-0.0063784549964564135,-0.0049680624556423,-0.0035536602700781805,23940.5884,23940.5884,0.1419,0.1398,
MAPS/USDT,True,False,0.0001,1.0,1.0,0.1405,0.1405,0.141,0.1405,spot,,MAPS,False,USDT,,False,True,196.0,-0.0007112375533428165,-0.004957507082152974,-0.0014214641080312722,1584.4882,1584.541010991706,0.1424,0.14,
MATH/USD,True,False,0.0001,0.1,0.1,0.1125,0.1121,0.1128,0.1125,spot,,MATH,False,USD,,False,True,280.0,0.00267379679144385,-0.03267411865864144,-0.05063291139240506,3562.46659,3562.46659,0.119,0.11,
